timestamp,ax,ay,az,gx,gy,gz,lin_ax,lin_ay,lin_az,grav_x,grav_y,grav_z,speed,lat,lon,prob_none,prob_pothole,prob_speedbump
1782141439495,-0.00405,9.12405,3.417,-0.31185,-0.027775,-0.070675,7.318221E-4,-0.173769,0.25536418,-0.042045243,9.265495,3.2123547,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439496,-0.045,9.07905,3.5040002,-0.31185,-0.027775,-0.070675,7.318221E-4,-0.173769,0.25536418,-0.045731824,9.252819,3.248636,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439509,-0.078,9.085951,3.7840502,-0.319275,-0.0565125,-0.0812625,-0.024982404,-0.14140129,0.4638729,-0.050165717,9.235921,3.2963083,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439524,-0.13305001,9.1050005,3.8560503,-0.31185,-0.107525,-0.0908875,-0.062593915,-0.10529804,0.49653172,-0.056356095,9.219298,3.3424184,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439529,-0.17205001,9.073951,3.9109502,-0.2883375,-0.1353,-0.0908875,-0.10593504,-0.12156582,0.5038235,-0.06287731,9.203316,3.3860612,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439539,-0.22905001,9.1050005,3.8820002,-0.2490125,-0.1288375,-0.0886875,-0.15541252,-0.076740265,0.43807793,-0.06981792,9.1883135,3.42643,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439549,-0.27195,9.0379505,3.8509502,-0.2085875,-0.098037496,-0.085525,-0.1892045,-0.1309433,0.3731742,-0.07702596,9.175357,3.4608192,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439559,-0.15705001,9.11205,3.6660001,-0.186175,-0.075625,-0.0886875,0.04921292,-0.05335045,0.12276459,-0.08274551,9.168894,3.477776,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439565,-0.08805001,9.14295,3.55095,-0.154275,-0.0160875,-0.1122,0.0059174374,-0.014205933,0.04266429,-0.089262925,9.160301,3.5001855,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439576,-0.033,9.26805,3.2950501,-0.156475,0.0191125,-0.150425,0.07260586,0.113612175,-0.21998692,-0.09942075,9.155717,3.5118887,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439585,-0.10005,9.318001,3.2310002,-0.2000625,0.0521125,-0.1962125,0.02350916,0.16706753,-0.29256845,-0.11375936,9.152759,3.5191598,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439595,-0.17595,9.340051,3.2209501,-0.2629,0.0829125,-0.2281125,-0.0282913,0.19450092,-0.31564474,-0.13508564,9.148537,3.5293648,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439612,-0.279,9.373051,3.3769503,-0.3287625,0.1255375,-0.2431,-0.102851704,0.23656368,-0.1816988,-0.16151626,9.141572,3.54626,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439615,-0.351,9.399,3.489,-0.3565375,0.14355,-0.2451625,-0.15950479,0.2685423,-0.08430004,-0.19149522,9.130458,3.5733001,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439626,-0.64605004,9.507001,4.00395,-0.3980625,0.136125,-0.2388375,-0.32176405,0.3651495,0.2685969,-0.22318596,9.115901,3.6084533,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439636,-0.90000004,9.580951,4.25595,-0.37454998,0.0573375,-0.217525,-0.6327596,0.48876667,0.5910926,-0.25347733,9.10003,3.646314,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439647,-1.0699501,9.579,4.41795,-0.319275,-0.0331375,-0.1813625,-0.779353,0.5014,0.71888065,-0.2905971,9.0776005,3.6990695,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439656,-1.17495,9.47595,4.46595,-0.2393875,-0.1342,-0.143,-0.8673389,0.41035652,0.7389171,-0.29985797,9.071276,3.713819,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439667,-1.17495,9.399,4.38,-0.155375,-0.2107875,-0.0983125,-0.85646796,0.34236717,0.63214993,-0.31375617,9.060683,3.738447,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439679,-1.1770501,9.391951,4.368,-0.11385,-0.2321,-0.0759,-0.8490686,0.35099888,0.5980377,-0.318482,9.056633,3.7478502,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439686,-1.161,9.44505,4.26795,-0.0020625,-0.2374625,0.00385,-0.8428272,0.3956318,0.50268865,-0.3246569,9.049478,3.7645657,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439696,-1.005,9.5119505,4.1599503,0.0617375,-0.207625,0.07095,-0.68662405,0.46218777,0.3955357,-0.32209963,9.048896,3.766182,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
1782141439708,-0.768,9.519,4.224,0.1203125,-0.1714625,0.13365,-0.46207556,0.46573448,0.46698046,-0.3130334,9.051298,3.7611704,0.062371723,-6.9789839,110.4071253,0.86101955,0.012047174,0.12693325
